1,13405,4338,7372,13755,10656,11936,6256,8146,1397,15023
2,13613,15376,13405,4338,13755,11344,14015,6636,11876,7388
3,16001,2065,7522,9706,402,469,7092,8964,14015,9203
4,13405,13755,4338,11936,6636,6256,16155,11148,11344,8964
5,8747,2700,12375,13329,3939,16221,5189,5081,2608,9691
6,87,7372,16155,13405,13755,11504,4338,7522,6636,8964
7,13405,13755,14015,6636,4338,11936,6256,16480,11148,16155
8,3961,9852,10487,9760,13299,6527,2151,444,820,2065
9,13755,13405,11148,16155,11344,4338,8964,820,11936,16480
10,13405,14015,11856,13755,8964,4338,11936,3300,6256,6636
11,13755,13405,11148,16155,11344,8964,4338,11936,16480,6256
12,10671,15713,16577,13213,5335,3448,6189,7717,4025,549
13,13755,13405,11148,11936,11344,16155,8964,6256,4338,11876
14,13755,13405,8964,16155,11148,4338,11344,11936,6256,16480
15,2788,13755,3602,15571,756,1493,16480,13405,5575,6636
16,16759,13616,1371,8646,6009,4357,13038,3540,14438,9887
17,6538,5583,14279,2918,6442,10351,16042,301,6289,7201
18,1834,9256,13453,15743,9218,5983,1157,8716,6996,2246
19,13405,14015,13980,13755,4338,11344,7372,15051,11936,7522
20,2179,6242,13376,2887,5726,9163,13306,10008,2704,3300
21,13405,13755,11344,11936,6256,11148,15023,16155,4338,8964
22,13405,13755,4338,11936,6256,6636,16155,11148,11344,8964
23,4608,5152,4495,11402,5885,13980,15023,4318,12915,14015
24,15610,13991,4421,1333,6282,17362,11877,6766,14767,3691
25,11205,12599,11470,1006,10092,12443,14058,6723,1402,7400
26,1529,15935,8663,4758,838,9219,3258,16716,3250,9186
27,15691,1473,11492,11883,17119,3846,8822,6100,10136,14290
28,2690,16303,9160,2171,940,3414,6362,5607,252,8277
29,11936,6217,13405,14015,13755,3361,8964,11876,6674,12041
30,13050,15563,6206,2152,14538,15582,5181,14574,9728,4951
31,4223,13755,7842,756,6277,8964,16480,13405,12199,6577
32,7372,1247,15023,11876,820,5500,10715,7326,4338,13405
33,5297,15773,7496,17230,15306,13229,5945,2433,7104,7421
34,13405,13755,11936,6256,11148,16155,11344,4338,8964,6636
35,6636,6217,15056,13405,15652,4338,8146,820,11856,13755
36,8305,10976,8628,14015,4338,4205,13405,1247,13755,13613
37,10679,7692,5383,3588,13405,13755,4338,8964,14015,11936
38,4093,11319,6361,14470,12351,1725,7254,2546,15262,9300
39,1725,11319,15845,2546,7254,9251,11258,14068,15262,14470
40,13755,13405,11936,11148,11344,8964,16155,7030,6256,820
41,13755,13405,17731,2201,11936,6674,16155,4338,8069,11148
42,8305,13405,13755,4338,11936,6256,11148,16155,6636,11344
43,13755,13405,16155,11148,11344,8964,11936,6577,6256,8145
44,16737,14620,10031,12963,3748,14398,1881,14268,4839,3627
45,6217,3697,17553,11936,7372,2201,13405,13980,6256,12041
46,8683,12262,5094,11210,5330,17591,9092,16253,4791,11941
47,6604,14778,11449,1327,13456,6351,1940,16238,6645,9356
48,13370,2654,12601,12770,7667,16543,10757,2236,14017,11716
49,16155,13755,16480,7388,13405,6636,8587,11148,2788,11344
50,14340,6876,13405,1752,2846,14015,5375,4338,13755,6577
51,13755,13405,11148,16155,11344,8964,6256,11936,4338,16480
52,2990,3748,4743,6628,14121,13005,6313,13316,13299,11504
53,13755,13405,16155,11148,11344,8964,6636,11936,4338,820
54,13405,7717,13755,8964,4338,11936,6256,11148,16155,6636
55,1960,2278,820,13755,11856,13405,4338,137,8193,1635
56,266,7707,17105,2065,4338,13405,15412,17128,15355,10398
57,8057,1416,14620,8796,4183,7717,2330,87,2065,9213
58,10991,16858,14072,15336,3835,12335,10278,3090,8118,8437
59,141,9894,13112,12893,13405,12006,13755,4338,4035,867
60,13405,6636,13755,6674,756,8964,4338,2065,11936,6256
61,13755,16480,13405,11148,756,16155,6636,11344,772,4338
62,2232,13405,14015,13755,4338,6277,11936,6256,10949,6636
63,5375,13405,13755,3562,4338,2846,11344,249,8964,7388
64,13405,13755,14015,4338,11936,2201,11148,6636,16155,1841
65,15895,8796,8257,12616,17121,17718,16331,10398,15916,15412
66,13405,13755,6636,4338,11936,16480,14015,6256,6217,1752
67,13755,4362,13405,820,11148,12887,16155,11344,6674,4338
68,14838,16510,13613,13405,4765,11856,4191,15587,4338,13755
69,13661,11008,16904,8959,8876,10985,11157,16027,6714,7087
70,13405,6636,13755,4338,2201,11936,9541,6256,16155,11148
71,3748,11504,1397,1841,14015,8964,11856,13405,13613,11393
72,16155,13755,8762,3694,8459,2936,15288,13405,6277,6577
73,8146,13980,13405,4338,11936,13755,11344,16155,8305,8964
74,13405,13755,12548,4338,3300,11936,8196,6256,11148,7522
75,13405,13755,4338,11936,6636,6256,14015,11148,8305,16155
76,9826,1882,1017,10654,9619,6063,5608,14235,9394,11480
77,6585,8987,7602,13234,15377,3077,693,11687,15466,11929
78,12418,13950,6838,15056,10549,10260,3602,10652,13755,9698
79,6852,8805,17059,17093,14967,13349,14161,16005,5546,3366
80,13405,13755,8964,14015,6217,4338,6636,5486,11936,820
81,12354,834,12390,8726,6885,14772,2185,7372,10949,8964
82,13405,4338,13755,11344,11936,8964,5486,6256,6636,11148
83,14963,11042,12145,2662,14408,11918,3216,9987,11038,14229
84,9737,7278,16620,3910,2330,12341,7107,8196,4132,6217
85,16875,16354,13755,10464,5188,13405,11148,12681,16155,11344
86,8056,13405,13755,1548,1383,11936,4338,11148,16155,11415
87,13405,6636,13755,14015,2065,8964,4338,11936,16480,6256
88,15498,2204,17444,15596,5916,9684,10301,2549,11324,16935
89,12829,8193,2201,14015,4332,13405,6636,6217,6674,1752
90,16577,15713,13213,10671,3448,5335,12,13980,5303,6189
91,11558,5057,17713,5834,3450,12203,9286,17427,7862,4142
92,5381,10535,5189,4313,16221,3939,13405,4338,13755,11936
93,13405,6636,13755,4338,11936,6256,16155,11148,11344,8964
94,12157,5595,756,16155,16480,13755,7388,12199,10717,7504
95,5514,7461,14068,15845,11093,17105,13527,15412,14580,2546
96,7834,13405,13980,1397,4338,13755,11936,6256,7372,6636
97,8297,16717,9534,13249,1891,13336,14735,12414,1167,10472
98,8508,13755,8964,11148,13405,11344,16155,11936,6991,6734
99,13755,13405,14015,16480,16155,4338,11148,6636,11344,6277
100,12217,17110,1548,8028,8056,13308,11415,14015,13405,3083
101,15191,3257,15088,11181,9895,6938,14988,5070,14024,2549
102,13405,6749,4338,13755,11936,10578,7522,8964,6256,6527
103,13405,11876,13755,11936,6256,17750,4338,8964,1247,820
104,2529,9941,14720,90,15613,12629,5706,326,14444,2027
105,13405,13755,4338,11344,11936,6636,8305,16155,11148,6256
106,17712,15390,6636,14015,917,13405,874,14710,4338,13755
107,8964,13755,11148,13405,11344,16155,11876,13950,11936,6256
108,16192,11502,4197,2155,2269,16658,4563,10975,5734,418
109,13405,13755,14015,11936,15023,4338,6636,6256,756,11148
110,4619,14015,190,2065,17142,8057,17719,8485,8193,8305
111,7852,13519,3894,15555,17361,9856,1060,9232,14131,11805
112,13405,2065,13755,14015,6636,4338,8964,2201,11936,8459
113,14861,9318,4538,7326,11856,1873,13371,2846,1960,10715
114,10215,3257,14988,1337,2619,7550,2466,8309,14838,9795
115,12558,15954,8912,12082,1280,5060,5034,3117,377,15231
116,5550,6843,10398,17121,7095,3834,3514,16331,11419,15097
117,1253,16715,17156,13936,15869,14379,11190,6008,14611,13980
118,12263,4781,3715,16532,10712,15329,9565,13227,7125,15285
119,13405,4020,8964,7834,13755,4338,6636,11936,6256,8459
120,13755,13405,8305,11344,4338,11936,6256,16155,11148,6636
121,13755,13405,16155,11148,11344,16480,6636,4338,8964,11936
122,8643,2029,16386,6774,11953,13038,15961,134,7477,8850
123,13405,4338,13755,16480,11936,820,6256,8305,6636,11148
124,13405,13755,14015,6674,4338,11936,6636,6256,15038,11148
125,14503,16028,5750,6607,6815,15695,16690,16299,3853,11689
126,9537,10525,867,9894,13112,12006,59,141,12445,16595
127,16024,12041,1960,13405,6838,6256,15056,15038,14986,13755
128,11349,11737,17073,1876,1383,1548,2428,7822,17471,6393
129,13405,820,13755,4338,15023,11936,8305,6636,6256,2426
130,13405,13755,4338,11936,8964,6256,11148,6636,16155,8305
131,4170,15349,399,10728,541,6431,6933,10247,6009,12725
