1067061,5.0,11164
683671,4.0,12277
1171571,4.0,720
1430799,5.0,14302
2003989,5.0,4633
2363425,4.0,971
1036278,5.0,2360
2499497,4.0,7937
1106628,4.0,5239
270748,4.0,16770
861309,4.0,758
1020439,5.0,11443
1207257,4.0,2400
96757,5.0,10422
268148,5.0,16139
971434,4.0,11752
1620769,4.0,6134
225930,5.0,17328
1991082,4.0,8304
700642,4.0,1877
2541764,4.0,3151
332735,4.0,16002
1935322,4.0,2200
263402,4.0,16113
2193527,4.0,11192
660151,4.0,4656
1886487,5.0,12668
2592419,4.0,7745
595339,4.0,241
805012,4.0,6720
794999,5.0,2329
385674,4.0,11283
1277211,4.0,6408
1411623,5.0,14050
101142,4.0,12605
303846,4.0,7381
1371819,4.0,8966
2530979,5.0,4219
374208,4.0,9768
355657,5.0,7750
1254101,5.0,789
234333,4.0,4345
149439,5.0,7613
826002,4.0,11446
913516,5.0,14550
469799,5.0,5760
639216,5.0,4043
1332017,5.0,6756
1197928,5.0,8644
21295,4.0,10989
834933,4.0,5049
193187,5.0,6177
337860,5.0,15084
1046046,4.0,14436
342420,4.0,664
1612505,4.0,12593
1904505,4.0,6552
1612901,4.0,14303
2205270,4.0,14183
862852,4.0,15424
962487,5.0,12184
2535229,4.0,8569
1521385,5.0,13921
1573486,5.0,10607
1036350,4.0,6976
1990874,4.0,13195
1617676,5.0,12075
638895,4.0,9049
2308850,4.0,16565
442485,4.0,14652
2313362,4.0,4640
1009833,5.0,4306
2193920,4.0,9862
2481458,4.0,7624
987785,4.0,6655
1201634,4.0,12244
400793,5.0,3544
1526068,4.0,12385
896462,5.0,14367
1357644,4.0,9728
2001596,5.0,17494
2089352,4.0,2153
236110,5.0,11607
1959056,5.0,4345
1350360,4.0,3106
1762582,4.0,12161
871574,4.0,10379
255470,5.0,4652
1684977,4.0,1274
778616,5.0,5112
1487437,4.0,10275
1106280,4.0,1195
393190,5.0,16147
70658,5.0,14644
1506909,4.0,6702
830745,4.0,6693
2376428,5.0,13673
1918910,5.0,11662
1853972,5.0,1307
869993,5.0,16969
2420590,5.0,9433
701176,4.0,11356
1973332,4.0,12435
2396611,4.0,798
1749593,4.0,11314
1547409,5.0,1905
1077176,5.0,4932
202631,4.0,13748
1008633,4.0,313
316931,4.0,12126
1987411,5.0,1962
698821,5.0,3079
886055,5.0,3928
92030,5.0,4393
2478342,4.0,3893
1732240,4.0,2580
751141,4.0,12299
1097605,5.0,2743
758928,4.0,10583
1492505,5.0,4640
2550194,4.0,15058
2482675,5.0,17165
2239000,4.0,3017
1304000,5.0,5793
1362518,4.0,13129
87613,4.0,5169
1203807,4.0,8292
1568024,5.0,14550
1087778,5.0,17762
1429841,5.0,424
521574,4.0,5462
838554,4.0,8687
1498236,4.0,13827
1850405,5.0,7257
1691193,4.0,14953
1934110,5.0,5496
1883670,4.0,10832
1009622,5.0,1798
2116971,4.0,13565
2384213,4.0,9111
1315370,5.0,7381
610533,5.0,15409
40262,4.0,10027
2585275,4.0,8387
1652121,4.0,10550
730078,4.0,14538
91981,5.0,15084
617561,4.0,14313
1981100,4.0,14960
2260557,4.0,3062
1846368,4.0,4174
2504469,5.0,14280
1322489,5.0,13412
119565,4.0,14584
923728,4.0,4833
416130,4.0,14039
500567,4.0,17558
737233,4.0,4043
1163218,4.0,13412
528496,4.0,11265
529305,4.0,5897
204177,4.0,8526
890432,5.0,15425
2596179,5.0,2452
461726,4.0,8904
1051473,5.0,2386
497114,4.0,14149
1393896,5.0,3938
1401233,5.0,14382
830932,4.0,15421
1905469,4.0,6974
42598,5.0,14815
2484963,4.0,10240
2413408,4.0,10123
115639,5.0,16339
1530041,4.0,12155
1482483,5.0,5293
2436179,4.0,10822
2119666,5.0,9582
1951704,4.0,16995
570379,5.0,1905
821315,5.0,3893
2551601,4.0,17134
2060094,5.0,14302
750495,4.0,17424
2050415,5.0,6834
831112,5.0,571
1725451,5.0,6786
977320,5.0,8832
1277045,5.0,1098
1528397,5.0,14381
2044355,4.0,11152
2590925,5.0,996
735690,4.0,11812
2270658,5.0,17517
196259,4.0,8782
1466438,5.0,14317
1891779,5.0,14482
498087,5.0,6037
467987,5.0,10158
1866407,5.0,15777
1554478,4.0,2862
342928,4.0,10583
79160,5.0,13673
1842352,4.0,2342
