1,694,5302,4181,1084,13586,10257,1173,8800,10495,15100
2,15376,11212,13613,3891,7195,17142,2115,14015,4205,11793
3,3301,7293,4155,1479,4628,2015,4450,4721,9242,11307
4,4087,2934,4358,6135,11015,13740,207,11692,7310,13915
5,2700,8747,3175,91,12375,3939,5892,5138,9691,14845
6,13660,2889,16923,424,15747,201,2684,11180,1365,4671
7,1545,4000,1640,5011,12932,8749,16160,3644,1449,10303
8,1865,4345,2122,3917,571,3282,2342,14274,3371,2913
9,11511,12133,12635,9287,9451,3831,2709,8044,11808,17399
10,11680,13003,2330,4363,3584,3300,11856,4471,352,3748
11,878,2065,13741,9203,11055,1379,15297,9209,3748,13414
12,90,17107,10671,14689,9941,17290,14720,14023,1778,12332
13,14478,10772,16408,15793,1445,7222,2614,16310,8193,6925
14,15192,5690,8252,15543,12968,10656,9362,1577,10056,16374
15,8279,16528,1720,5929,8013,9802,3755,16455,4376,1942
16,11938,10243,5481,12940,1803,16232,10165,811,15377,1104
17,5730,5583,406,11385,1060,7939,12409,9415,2495,16262
18,3730,15758,1367,2122,571,15064,3148,4227,2000,9818
19,6417,15126,11601,8810,16723,1914,1303,6550,8074,16747
20,2179,5726,6242,10008,12268,2611,2887,13376,3669,2704
21,4121,317,8486,17045,11657,12611,13291,6417,15051,3666
22,1635,10549,9086,13151,9906,14015,7372,2278,9405,6636
23,4495,5152,4608,2625,1217,11135,13600,13065,13436,1629
24,4281,1668,4097,3236,16630,2475,3268,3526,15749,15362
25,11470,1006,11205,12599,12443,12488,13167,10092,1402,2506
26,11910,1160,2495,9856,15712,4389,11478,4429,8014,10082
27,1473,15691,9976,3677,6154,11492,10136,5334,10824,15486
28,3962,2690,3938,1905,3079,3860,11089,3427,2290,1406
29,12483,2561,2513,15405,16071,1460,12824,202,1694,1774
30,4306,3106,1905,1542,2152,2862,607,3860,3962,1962
31,4223,10788,3726,5969,11738,9829,7800,4842,16159,8660
32,4266,11153,10298,267,3478,10316,334,15033,809,11040
33,5297,15773,7496,17230,2532,16302,2433,15306,12834,7695
34,4205,8390,13405,11936,1858,8690,6112,1894,11876,14610
35,9814,9443,11806,980,8781,15485,1089,16628,16340,4456
36,8628,7625,2479,880,4385,3438,3872,4381,15282,10976
37,10679,3588,5383,7170,7692,12826,3139,5353,10738,3827
38,11319,14470,1725,12351,6361,12231,3011,4625,4093,1485
39,873,3745,1296,1613,1725,12168,11440,17425,6043,4263
40,2643,16036,2572,6338,17306,10561,8711,5842,17541,1158
41,8069,10075,17731,14880,16405,6363,10332,13305,6770,10638
42,8305,12241,15399,15920,3162,15323,7581,9992,14647,2450
43,7498,1054,11181,3257,12229,14988,8309,12396,15275,7550
44,1144,3538,2953,11198,11446,1542,1590,4330,2209,12305
45,1862,2876,10375,7980,14212,7401,4330,11005,2499,12399
46,12262,17591,8683,551,14134,17187,11210,5094,10828,7827
47,14719,6710,4591,840,8861,13934,10560,2525,3582,1851
48,2654,13370,12601,12770,7667,3475,2346,11967,4342,3181
49,8587,913,12532,4882,17364,9802,12647,3785,8967,9765
50,9576,63,11355,12295,16741,8957,3601,9031,8902,11477
51,4476,15561,14228,14851,1474,17322,11705,9127,87,11581
52,2329,8524,720,1707,9048,8637,416,4345,7074,17381
53,2672,13332,2785,6774,13354,5641,11441,4023,399,7084
54,5794,12282,12348,11104,6638,16715,14611,2292,326,11814
55,6923,10337,12743,8239,1027,1035,9613,13091,599,12633
56,3900,977,2813,17350,5224,6450,3886,11891,2015,14264
57,7773,6486,12896,10446,1595,10371,3730,11242,3265,13451
58,985,3427,1406,10168,12918,658,9882,191,1905,12317
59,141,867,12394,14693,744,14581,12006,5756,13112,12893
60,12167,10815,3918,13761,7982,2437,13680,8917,3041,787
61,772,7204,17256,1942,10878,2846,917,1696,4223,15092
62,741,2232,9499,8031,7663,7618,16763,1008,1686,13324
